Order_ID,Date,Financial_Year,Quarter,Month,Region,Department,Product,Customer_Segment,Salesperson,Units_Sold,Sales_Revenue,COGS,Gross_Profit,Operating_Expenses,Net_Profit,Budget_Sales,Sales_Variance,Profit_Margin_Percent,Growth_Percent,Currency
ORD-104642,01-01-2023,FY2023,Q1,January,Central,Technology,Monitor,Corporate,Neha,2,5596.68,3006.91,2589.77,911.12,1678.64,5186.48,410.2,29.99,20.15,INR
ORD-100743,01-01-2023,FY2023,Q1,January,West,Furniture,Bookshelf,Consumer,Vikas,7,319365.72,237824.26,81541.47,26693.48,54847.98,295081.01,24284.71,17.17,20.61,INR
ORD-102691,01-01-2023,FY2023,Q1,January,West,Technology,Smartphone,Consumer,Anjali,14,93642.67,72542.65,21100.02,10914.74,10185.29,94470.64,-827.97,10.88,0.99,INR
ORD-100559,01-01-2023,FY2023,Q1,January,Central,Consumer Goods,Calculator,Consumer,Vikas,9,75833.26,52352.23,23481.03,10824.68,12656.35,83213.42,-7380.16,16.69,5.02,INR
ORD-102331,01-01-2023,FY2023,Q1,January,South,Healthcare,First Aid Box,Consumer,Rahul,15,352572.26,191811.73,160760.53,60504.31,100256.21,331100.16,21472.1,28.44,13.4,INR
ORD-104765,01-01-2023,FY2023,Q1,January,Central,Technology,Laptop,Corporate,Rohit,13,113673.93,68943.06,44730.86,13299.49,31431.38,114605.25,-931.33,27.65,24.51,INR
ORD-104899,01-01-2023,FY2023,Q1,January,East,Technology,Smartphone,Corporate,Priya,3,137724.09,87197.01,50527.07,14167.21,36359.86,149472.36,-11748.27,26.4,18.28,INR
ORD-102480,01-01-2023,FY2023,Q1,January,South,Technology,Monitor,Corporate,Amit,15,680805.66,465532.8,215272.85,115585.14,99687.71,627071.33,53734.33,14.64,-6.86,INR
ORD-101624,02-01-2023,FY2023,Q1,January,Central,Technology,Smartphone,Consumer,Rohit,7,145453.11,93959.24,51493.86,30633.9,20859.96,156029.96,-10576.86,14.34,6.92,INR
ORD-100189,02-01-2023,FY2023,Q1,January,South,Consumer Goods,Backpack,Consumer,Neha,13,394015.78,274615.39,119400.39,34417.78,84982.61,430135.25,-36119.47,21.57,17.81,INR
ORD-101459,02-01-2023,FY2023,Q1,January,South,Technology,Monitor,Small Business,Vikas,11,406746.68,270687.03,136059.64,54962.18,81097.46,411132.55,-4385.88,19.94,-3.87,INR
ORD-101364,02-01-2023,FY2023,Q1,January,South,Furniture,Conference Table,Consumer,Sneha,3,91273.39,64701.88,26571.51,9343.26,17228.25,99227.08,-7953.69,18.88,2.83,INR
ORD-100146,02-01-2023,FY2023,Q1,January,North,Technology,Monitor,Corporate,Rohit,8,300935.14,211730.05,89205.1,50648.34,38556.76,313859.05,-12923.91,12.81,-1.66,INR
ORD-101178,03-01-2023,FY2023,Q1,January,West,Office Supplies,Pen Set,Small Business,Amit,20,944943.52,498939.87,446003.65,184191.31,261812.34,976613.25,-31669.72,27.71,22.73,INR
ORD-102927,03-01-2023,FY2023,Q1,January,East,Consumer Goods,Travel Bag,Small Business,Vikas,15,549768.85,397872.59,151896.27,50624.19,101272.08,570896.42,-21127.57,18.42,-6.69,INR
